,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Serbia_Sirmium_Ottoman.SG,0.1255847,0.1296493,0.0560653,0.0424207,0.0414437,0.0085523,0.010184,0.006923,-0.0002727,-0.0060137,-0.0040597,-0.0058947,0.006095,0.0158267,-0.0137983,0.0005743,0.005172,0.0009713,0.005489,0.0064197,-0.0017467,-0.005111,-0.0002053,-0.0006027,0.0010377
Serbia_Sirmium_Roman.SG,0.125205,0.159438,0.00792,-0.031654,0.037238,-0.018965,0.000705,-0.000462,0.001432,0.031891,-0.003085,0.007943,-0.012785,0.00289,-0.019272,-0.005436,0.009648,-0.006714,0.006159,-0.012256,-0.007362,0.006554,-0.002218,-0.002048,0.003952
Serbia_SvilosKrussevlje_Roman.SG,0.122929,0.149283,0.019799,-0.021318,0.028005,-0.0079485,0.0029375,0.0063455,0.01176,0.0303425,0.0001625,0.008692,-0.0129335,0.0026835,-0.0109255,-0.015115,-0.00339,-0.000697,0.007102,-0.0068155,-0.009421,-0.004266,-0.0002465,0.0033735,-0.00485
Serbia_Viminacium_Roman_elite_1.SG,0.126723,0.1198323,0.0584537,0.0501727,0.0294413,0.018128,0.0061883,0.003769,-0.0021133,-0.010995,0.001516,-0.0026977,0.0008423,0.0066057,-0.0025337,0.0062317,0.012213,-0.001351,-0.0027653,0.0006253,-0.0037433,0.0036687,0.0019307,-0.0004417,3.97E-05
Serbia_Viminacium_Roman_elite_2.SG,0.083091,0.145221,-0.046386,-0.07429,-0.014464,-0.029284,0.000235,-0.004384,-0.007363,0.013121,-0.002598,0.000749,0.009068,0.00523,-0.003529,-0.008088,-0.013038,-0.001267,0.011816,-0.010505,-0.004866,0.001113,0.000493,0.001084,-0.002036
Serbia_Viminacium_Roman_elite_3.SG,0.1195145,0.1579145,0.011125,-0.0282625,0.0287745,-0.009064,0.00282,0.004615,0.0033745,0.030889,0.0057645,0.009367,-0.0128595,-0.0043355,-0.0216475,-0.0046405,0.0072365,0.00114,0.007982,-0.0076285,-0.011979,0.0145295,-0.002157,0.007109,0.0040115
Serbia_Viminacium_Roman.SG,0.126344,0.119832,0.089378,0.098192,0.049548,0.036256,0.01034,0.017307,-0.001432,-0.039363,-0.003897,-0.013788,0.035233,0.036883,-0.02253,0.004243,0.014733,-0.007348,-0.001383,0.001376,-0.006114,-0.007914,0.005053,-0.009037,0.000718
Serbia_VincaBelo_Starcevo_EN.SG,0.121791,0.185842,0.008297,-0.097869,0.060934,-0.046296,0.002585,0.000692,0.0407,0.082188,0.005359,0.009591,-0.025421,0.006331,-0.038137,-0.030628,0.002999,0.007348,0.012947,-0.017633,-0.009358,0.007914,0.002465,0.000843,-0.000718
Serbia_Vlasac_LateMesolithic.SG,0.1303275,0.1172935,0.178378,0.170222,0.1251005,0.0502,0.0149235,0.0323065,0.0563465,-0.0071985,-0.0027605,-0.0128135,0.0235625,0.0046105,0.03108,0.035733,-0.002282,0.0024705,-0.008547,0.047398,0.0693775,0.008594,-0.0297645,-0.1166425,0.0141905
Slovakia_BytcaHrabove_Puchov_LaTene_Roman.SG,0.1303275,0.1416665,0.0607165,0.039406,0.0486245,0.012829,0.005405,0.0103845,0.013703,0.0118455,-0.0010555,0.0003745,0.0001485,0.005161,-0.001357,0.0016575,-0.0001955,0.000887,-0.002514,-0.002251,0.0108555,-0.0015455,-0.0071485,-0.0112665,0.0043105
Slovakia_IA_Vekerzug,0.1271025,0.1437313,0.0466874,0.0169683,0.0378942,0.002008,0.0011907,0.0047228,0.0096535,0.0125865,-0.0006819,0.002148,-0.0056491,0.0035691,-0.0042345,-0.0022009,0.0017386,0.0014696,0.0063937,-0.0008755,-0.002612,0.0016486,0.0017995,-0.0070131,3.19E-05
Slovakia_LIA,0.122929,0.127957,0.033564,0.012597,0.025235,-0.004462,0.001645,0.004384,-0.002659,0.006378,-0.011042,0.008992,-0.009366,-0.001239,-0.011536,0.008486,0.018906,0.004561,-0.002388,-0.005753,-0.004742,0.007296,0.000493,0.005543,-0.003473
Slovakia_LIA_LaTene,0.1274818,0.1464902,0.054494,0.0254362,0.0435465,0.0097612,-0.0014688,0.001442,0.0098682,0.0213218,-0.0025168,0.005358,-0.0120412,-0.0062618,0.0066505,-6.62E-05,-0.0034227,0.0034522,0.0061905,-0.0019385,0.0012165,0.003493,-0.0025575,-0.001777,0.0046105
Slovakia_Mikusovce_LaTene_Roman.SG,0.121791,0.131003,0.035072,0.010659,0.023389,0.002789,0.00235,-0.003,-0.004704,0.008747,-0.001461,-0.002997,-0.009068,-0.007294,-0.0019,0.00411,0.020079,-0.003421,0.004022,-0.005753,-0.005865,0.003462,-0.002958,0.010363,-0.007903
Slovakia_Poprad.SG,0.122929,0.13405,0.061471,0.040698,0.042162,0.018686,-0.00047,0.002077,0.003681,-0.003645,-0.002111,0.006145,-0.011447,-0.005092,0.004479,0.018695,0.005215,0.000127,-0.000754,5.00E-04,-0.000374,0.002349,0.002835,0.020726,-0.001197
Slovakia_TesarkeMlynany_Germanic_MigrationPeriod.SG,0.124826,0.1250793,0.0440603,0.0243865,0.030775,0.0070188,0.0004308,0.0053075,0.000341,0.0066822,-0.0019218,0.0038965,-0.0112238,-0.004083,0.0029405,0.0034695,0.0072797,0.0007177,0.0040433,0.0016258,0.0002498,0.0035448,0.0011297,0.0063058,-0.001018
Slovakia_Zohor_Germanic_Roman.SG,0.136588,0.127957,0.079195,0.057171,0.04647,0.019522,0.00705,0.01223,0.001023,-0.012028,0.00065,-0.001349,0.00223,-0.007707,0.019815,0.013524,-0.008345,0.006461,0.006159,0.005002,0.012353,0.00371,0.001356,0.01458,0.001437
Slovenia_EIA,0.1299861,0.1476579,0.0463104,0.0070414,0.0422539,-0.0006973,0.001504,0.0019154,0.0107989,0.0241463,-0.0015427,0.0072236,-0.0164864,-0.0088492,0.0019814,-0.0024398,0.0014602,0.0020777,0.0040726,-0.0007003,-0.0017468,0.0058983,-0.001627,-0.0031207,-0.001449
Slovenia_Emona_Roman_oEurope.SG,0.136588,0.123895,0.070522,0.068799,0.040007,0.028168,0.0094,0.003461,-0.005727,-0.007107,-0.003573,0.005995,-0.010109,-0.007432,0.021172,0.02148,0.013951,0.005701,0.010559,0.004877,0.009358,0.001978,0.005546,0.010122,-0.006466
Slovenia_Emona_Roman.SG,0.1197038,0.146744,0.017599,-0.0205105,0.0224145,-0.0064145,0.00141,0.0026922,0.0059653,0.0229618,0.002842,0.004496,-0.00778,-9.18E-05,-0.0067633,-0.001591,0.0062148,-0.0008445,0.0007123,0.0003125,-0.0023502,0.0006802,0.0016432,0.0017472,-0.0037922
Slovenia_LBA,0.126344,0.139128,0.045254,0.021318,0.040931,0.00502,0.00282,0.001846,0.003886,0.014761,-0.002598,0.009142,-0.017393,-0.011147,0.005836,0.012861,0.014212,-0.002027,0.003268,-0.001126,0.004492,0.004451,0.001725,-0.003253,-0.001676
Slovenia_LBA_EIA,0.133173,0.152329,0.046763,-0.005814,0.042162,0.001673,0.00423,0,0.014317,0.022597,-0.000974,0.010041,-0.019921,-0.005367,-0.0095,-0.01485,-0.008214,-0.005574,-0.005028,-0.008504,-0.010232,0.013849,-0.000493,0.003374,-0.005389
Slovenia_MBA,0.126344,0.150298,0.038089,0.005168,0.040315,-0.007809,0.007755,-0.004846,0.01493,0.027882,0.006658,0.008243,-0.01665,-0.01734,0.000271,0.009281,0.014081,0.003547,0.001006,0.001,-0.007112,-0.001731,0.003697,-0.001928,0.001557
Slovenia_MIA_oSouth,0.127482,0.147252,0.0445,-0.005168,0.051394,-0.016733,0.000705,-0.001846,0.025565,0.045741,0.00406,0.012589,-0.022596,-0.011147,-0.002579,0.010607,0.00678,0.001774,0.012318,-0.010755,0.003494,0.004451,-0.013927,-0.006627,-0.003353
